Iteration,Threads,Size,Buckets,Gen_Time,Split_Time,Sort_Time,Write_Time,Total_Time
4,28,1000000000,10000000,0.215331,6.817183,2.733668,0.343827,12.785411
5,28,1000000000,10000000,0.214365,6.882467,2.734669,0.345038,12.851157
6,28,1000000000,10000000,0.215133,6.815120,2.733283,0.339560,12.782539
7,28,1000000000,10000000,0.215469,6.837342,2.733488,0.347060,12.807374
8,28,1000000000,10000000,0.214697,6.858963,2.733186,0.315555,12.796771
9,28,1000000000,10000000,0.214423,6.849260,2.734017,0.315601,12.789279
10,28,1000000000,10000000,0.214806,6.852459,2.735025,0.360629,12.834357
1,30,1000000000,10000000,0.200902,6.416762,2.552104,0.346553,12.194375
2,30,1000000000,10000000,0.201104,6.428138,2.551884,0.327532,12.183971
3,30,1000000000,10000000,0.201810,6.428515,2.551268,0.320933,12.180231
4,30,1000000000,10000000,0.200991,6.410403,2.552812,0.378300,12.224535
5,30,1000000000,10000000,0.202553,6.436551,2.551587,0.312641,12.179829
6,30,1000000000,10000000,0.201306,6.418654,2.551276,0.327960,12.174160
7,30,1000000000,10000000,0.201211,6.401439,2.551551,0.377286,12.205544
8,30,1000000000,10000000,0.201310,6.476328,2.553671,0.313069,12.224655
9,30,1000000000,10000000,0.201671,6.405216,2.551905,0.345783,12.183385
10,30,1000000000,10000000,0.201910,6.397908,2.552675,0.341713,12.164750
1,32,1000000000,10000000,0.189846,6.073070,2.393801,0.322109,11.655867
2,32,1000000000,10000000,0.188867,6.056583,2.393692,0.334047,11.646864
3,32,1000000000,10000000,0.189721,6.070335,2.392985,0.318018,11.645379
4,32,1000000000,10000000,0.190673,6.023013,2.393286,0.305546,11.587122
5,32,1000000000,10000000,0.188903,6.109122,2.393614,0.335112,11.704573
6,32,1000000000,10000000,0.189180,6.136704,2.392740,0.348678,11.746763
7,32,1000000000,10000000,0.188903,6.041894,2.393417,0.316606,11.614779
8,32,1000000000,10000000,0.189022,6.065903,2.393708,0.331904,11.657912
9,32,1000000000,10000000,0.189213,6.226359,2.393291,0.322173,11.807632
10,32,1000000000,10000000,0.189680,6.118929,2.393211,0.323640,11.695148
1,34,1000000000,10000000,0.179942,5.752423,2.252620,0.320714,11.182639
2,34,1000000000,10000000,0.179421,5.704742,2.252769,0.353366,11.165141
3,34,1000000000,10000000,0.179705,5.768570,2.252886,0.356432,11.237676
4,34,1000000000,10000000,0.179238,5.734807,2.253269,0.318698,11.159095
5,34,1000000000,10000000,0.178670,5.732937,2.252824,0.348218,11.188863
6,34,1000000000,10000000,0.179402,5.733495,2.252212,0.319750,11.159340
7,34,1000000000,10000000,0.178684,5.776464,2.252638,0.332222,11.214986
8,34,1000000000,10000000,0.179267,5.760824,2.252479,0.338888,11.205308
9,34,1000000000,10000000,0.179340,5.748259,2.252555,0.341679,11.203330
10,34,1000000000,10000000,0.178897,5.748756,2.253307,0.369448,11.223669
1,36,1000000000,10000000,0.171354,5.492671,2.127730,0.328242,10.795884
2,36,1000000000,10000000,0.170787,5.457892,2.128675,0.292853,10.725276
3,36,1000000000,10000000,0.170229,5.474799,2.128387,0.315365,10.762760
4,36,1000000000,10000000,0.170467,5.468528,2.128660,0.301340,10.744976
5,36,1000000000,10000000,0.171747,5.478872,2.128731,0.301793,10.755373
6,36,1000000000,10000000,0.170631,5.465028,2.129123,0.310760,10.749250
7,36,1000000000,10000000,0.170369,5.488174,2.130035,0.294611,10.757685
8,36,1000000000,10000000,0.169710,5.473317,2.129089,0.326613,10.771421
9,36,1000000000,10000000,0.169619,5.471412,2.128350,0.314731,10.760127
10,36,1000000000,10000000,0.172833,5.498401,2.129254,0.306319,10.782454
1,38,1000000000,10000000,0.162207,5.220713,2.016890,0.303335,10.381652
2,38,1000000000,10000000,0.162929,5.210170,2.016961,0.351283,10.417240
3,38,1000000000,10000000,0.162343,5.204672,2.016490,0.335324,10.390419
4,38,1000000000,10000000,0.163014,5.236925,2.016653,0.355190,10.447202
5,38,1000000000,10000000,0.162827,5.240794,2.016669,0.293358,10.386946
6,38,1000000000,10000000,0.162782,5.204496,2.017560,0.334333,10.394194
7,38,1000000000,10000000,0.162512,5.235922,2.016932,0.360270,10.450555
8,38,1000000000,10000000,0.162296,5.429570,2.016766,0.354753,10.637056
9,38,1000000000,10000000,0.163093,5.234359,2.016991,0.317401,10.407489
10,38,1000000000,10000000,0.163248,5.228815,2.017787,0.318438,10.401103
1,40,1000000000,10000000,0.155603,5.007543,1.915997,0.352261,10.109721
2,40,1000000000,10000000,0.154924,4.965376,1.917590,0.326174,10.041578
3,40,1000000000,10000000,0.156240,4.996802,1.917068,0.325882,10.068303
4,40,1000000000,10000000,0.154550,4.986350,1.916794,0.312453,10.045167
5,40,1000000000,10000000,0.155758,4.979661,1.916352,0.296596,10.023059
6,40,1000000000,10000000,0.155563,4.981310,1.915852,0.307672,10.033886
7,40,1000000000,10000000,0.155790,5.175472,1.916999,0.318814,10.241457
8,40,1000000000,10000000,0.156228,5.010814,1.915820,0.316388,10.072860
9,40,1000000000,10000000,0.156047,4.968572,1.916856,0.316214,10.034656
10,40,1000000000,10000000,0.155406,4.991780,1.921796,0.357820,10.099274
1,42,1000000000,10000000,0.148573,4.810919,1.826684,0.347191,9.812085
2,42,1000000000,10000000,0.151758,4.754170,1.826585,0.365279,9.777924
3,42,1000000000,10000000,0.149843,4.810242,1.830062,0.384665,9.846615
4,42,1000000000,10000000,0.150127,4.786515,1.826233,0.285954,9.724369
5,42,1000000000,10000000,0.148875,4.795912,1.826527,0.343186,9.790025
6,42,1000000000,10000000,0.149321,4.924211,1.828335,0.335411,9.912044
7,42,1000000000,10000000,0.148750,4.784776,1.826411,0.324063,9.758542
8,42,1000000000,10000000,0.149685,4.817511,1.825581,0.340575,9.807462
9,42,1000000000,10000000,0.151067,4.802076,1.829773,0.371205,9.831162
10,42,1000000000,10000000,0.153124,4.788972,1.846361,0.294114,9.757103
1,44,1000000000,10000000,0.144695,4.615123,1.745356,0.323365,9.506932
2,44,1000000000,10000000,0.145378,4.597456,1.745103,0.333800,9.498594
3,44,1000000000,10000000,0.147823,4.773939,1.745411,0.313995,9.654356
4,44,1000000000,10000000,0.147013,4.577387,1.744823,0.316971,9.462075
5,44,1000000000,10000000,0.145958,4.603966,1.747172,0.348290,9.521808
6,44,1000000000,10000000,0.143238,4.637410,1.747510,0.381733,9.585478
7,44,1000000000,10000000,0.143748,4.620838,1.745041,0.347870,9.533648
8,44,1000000000,10000000,0.148591,4.617407,1.745289,0.390698,9.576653
9,44,1000000000,10000000,0.146114,4.586904,1.756001,0.311936,9.479414
10,44,1000000000,10000000,0.145033,4.611869,1.768953,0.327513,9.527142
1,46,1000000000,10000000,0.139923,4.555276,1.672122,0.355478,9.400696
2,46,1000000000,10000000,0.140821,4.414035,1.672261,0.302479,9.206396
3,46,1000000000,10000000,0.140021,4.439002,1.669569,0.302695,9.231497
4,46,1000000000,10000000,0.141791,4.519724,1.675465,0.399092,9.413355
5,46,1000000000,10000000,0.140212,4.429588,1.678496,0.382600,9.306707
6,46,1000000000,10000000,0.141675,4.424919,1.680580,0.317502,9.239296
7,46,1000000000,10000000,0.142122,4.444265,1.670231,0.311973,9.245653
8,46,1000000000,10000000,0.143499,4.449760,1.682972,0.325699,9.275374
9,46,1000000000,10000000,0.143440,4.442617,1.692489,0.309782,9.266190
10,46,1000000000,10000000,0.144937,4.426973,1.702933,0.309213,9.259478
1,48,1000000000,10000000,0.137314,4.300122,1.601217,0.361910,9.077545
2,48,1000000000,10000000,0.137940,4.278339,1.609773,0.312666,9.015521
3,48,1000000000,10000000,0.139021,4.273204,1.606354,0.287939,8.986190
4,48,1000000000,10000000,0.138388,4.451082,1.607197,0.326753,9.203469
5,48,1000000000,10000000,0.138101,4.281718,1.616334,0.305558,9.016128
6,48,1000000000,10000000,0.139432,4.281199,1.620961,0.357156,9.074626
7,48,1000000000,10000000,0.136882,4.293163,1.600959,0.348738,9.058439
8,48,1000000000,10000000,0.140279,4.297202,1.615735,0.317884,9.045209
9,48,1000000000,10000000,0.140674,4.267929,1.632518,0.283219,9.000383
10,48,1000000000,10000000,0.141521,4.289732,1.666115,0.318737,9.089838
