Iteration,Threads,Size,Buckets,Gen_Time,Split_Time,Sort_Time,Write_Time,Total_Time
3,32,2000000000,100,0.378559,30.540435,18.212022,0.431499,54.915339
4,32,2000000000,100,0.378778,30.527565,18.225905,0.386411,54.866609
5,32,2000000000,100,0.381478,29.652971,18.213076,0.481783,54.071009
6,32,2000000000,100,0.378459,30.379429,18.195669,0.379669,54.673813
7,32,2000000000,100,0.378920,30.502523,18.207321,0.409208,54.940371
8,32,2000000000,100,0.378866,30.646204,18.222483,0.398170,54.999979
9,32,2000000000,100,0.378955,30.675434,18.208252,0.424628,55.030098
10,32,2000000000,100,0.378460,30.492012,18.190896,0.372003,54.782790
1,34,2000000000,100,0.359707,29.891087,13.928618,0.370573,49.897926
2,34,2000000000,100,0.359665,28.608485,13.924173,0.431406,48.662825
3,34,2000000000,100,0.359375,29.724772,13.936091,0.402887,49.763047
4,34,2000000000,100,0.357080,29.974259,13.953360,0.398967,50.020852
5,34,2000000000,100,0.360510,29.788112,13.921478,0.419023,49.825572
6,34,2000000000,100,0.358059,29.627436,13.954326,0.400402,49.680236
7,34,2000000000,100,0.358572,29.759445,13.901740,0.392488,49.751741
8,34,2000000000,100,0.358790,29.903915,13.950973,0.407488,49.973325
9,34,2000000000,100,0.358784,29.739597,13.917213,0.382045,49.734848
10,34,2000000000,100,0.358981,29.764445,13.915958,0.377021,49.749218
1,36,2000000000,100,0.340027,29.198395,13.939723,0.385472,49.206263
2,36,2000000000,100,0.346474,28.308168,13.932339,0.391445,48.319882
3,36,2000000000,100,0.340573,28.373927,13.964811,0.397347,48.415034
4,36,2000000000,100,0.341247,29.480939,13.915692,0.362105,49.440340
5,36,2000000000,100,0.341618,29.325025,13.899945,0.394377,49.297846
6,36,2000000000,100,0.338559,29.286701,13.917474,0.433673,49.315976
7,36,2000000000,100,0.339894,29.179975,13.874874,0.428375,49.163616
8,36,2000000000,100,0.344183,29.488580,13.979678,0.399605,49.556469
9,36,2000000000,100,0.344848,29.165186,13.865185,0.408668,49.119387
10,36,2000000000,100,0.341294,28.541291,13.952046,0.382722,48.557072
1,38,2000000000,100,0.329913,29.020665,14.078460,0.401659,49.171267
2,38,2000000000,100,0.325706,27.874847,14.054543,0.427667,48.023905
3,38,2000000000,100,0.326312,28.793749,14.194241,0.416333,49.070025
4,38,2000000000,100,0.324825,29.082664,14.059669,0.434539,49.253219
5,38,2000000000,100,0.325835,28.837583,14.047518,0.412782,48.967294
6,38,2000000000,100,0.325944,28.867464,14.003237,0.417384,48.954039
7,38,2000000000,100,0.324361,29.054977,14.067560,0.433555,49.229261
8,38,2000000000,100,0.326200,29.093766,14.129249,0.409525,49.305765
9,38,2000000000,100,0.324508,28.885554,14.052742,0.414963,49.016527
10,38,2000000000,100,0.327035,29.023091,14.154741,0.391324,49.237510
1,40,2000000000,100,0.311091,28.114778,14.122711,0.436276,48.334647
2,40,2000000000,100,0.311193,27.454002,14.110676,0.466838,47.793575
3,40,2000000000,100,0.309484,28.086725,14.200252,0.393772,48.329313
4,40,2000000000,100,0.312168,28.666661,14.019580,0.378840,48.719589
